"ID";"Month";"Year";"Age";"Gender";"HHIncome";"HHSize";"RelationshipL";"DM";"TV_Adv";"Facebook_Adv";"Publicity";"Web_Visits";"Facebook_Page_Views";"churnD"
16669;4;2013;38;"Male";24977;3;15;1;0;24323.0454231263;43;7824;253;0
16669;5;2013;38;"Male";24977;3;16;0;0;33204.8954039564;62;9024;415;0
16669;6;2013;38;"Male";24977;3;17;1;13386.25;28284.4727852959;32;9568;333;0
16669;7;2013;38;"Male";24977;3;18;0;1160;40060.9718232836;33;8450;396;0
16669;8;2013;38;"Male";24977;3;19;1;16848;13607.0519158419;28;5888;363;0
16669;9;2013;38;"Male";24977;3;20;0;18998;24964.4842183003;27;3844;330;0
16669;10;2013;38;"Male";24977;3;21;1;0;15014.7595014839;47;6772;323;0
16669;11;2013;38;"Male";24977;3;22;0;42229.6;6394.38493375176;24;5467;326;0
16669;12;2013;38;"Male";24977;3;23;1;57048.64;53578.7239213706;58;10177;399;0
16669;1;2014;39;"Male";24977;3;24;0;0;42228.9838713102;50;6876;349;0
16669;2;2014;39;"Male";24977;3;25;1;0;2140.77355458183;46;8727;339;0
16669;3;2014;39;"Male";24977;3;26;1;5700;6052.41461768391;59;9710;327;0
16669;4;2014;39;"Male";24977;3;27;0;0;9095.19581736356;36;5840;423;0
16669;5;2014;39;"Male";24977;3;28;0;0;44708.202627986;77;9844;379;0
16669;6;2014;39;"Male";24977;3;29;1;13386.25;50995.9161147744;42;8588;331;0
16669;7;2014;39;"Male";24977;3;30;1;14600;9026.25141029171;24;7657;371;0
16669;8;2014;39;"Male";24977;3;31;1;0;614.375570992743;33;8779;275;0
16669;9;2014;39;"Male";24977;3;32;0;0;47530.3859284607;30;9293;289;0
16669;10;2014;39;"Male";24977;3;33;1;0;10678.3193221821;30;5098;376;0
16669;11;2014;39;"Male";24977;3;34;1;0;3896.59680770334;39;8425;461;0
16669;12;2014;39;"Male";24977;3;35;0;27380;18118.8266563319;39;9746;278;1
16670;1;2012;54;"Female";22306;3;0;0;0;42143.8078486965;23;9336;368;0
16670;2;2012;54;"Female";22306;3;1;0;0;28065.7554776411;22;8716;381;0
16670;3;2012;54;"Female";22306;3;2;0;0;5089.66476175808;37;9765;339;0
16670;4;2012;54;"Female";22306;3;3;1;0;15368.256729146;41;7323;364;0
16670;5;2012;54;"Female";22306;3;4;0;0;1071.69364882015;31;3664;324;1
16674;1;2012;53;"Female";27726;3;0;0;0;42143.8078486965;23;9336;368;0
16674;2;2012;53;"Female";27726;3;1;0;0;28065.7554776411;22;8716;381;1
16677;1;2012;53;"Female";32064;2;0;0;0;42143.8078486965;23;9336;368;0
16677;2;2012;53;"Female";32064;2;1;0;0;28065.7554776411;22;8716;381;1
16721;10;2012;74;"Male";28523;3;0;1;10500;3902.54193570821;59;8346;418;0
16721;11;2012;74;"Male";28523;3;1;1;7320;42437.215213263;41;9064;357;0
16721;12;2012;74;"Male";28523;3;2;1;21567.49;29841.4574185985;35;4340;333;0
16721;1;2013;75;"Male";28523;3;3;0;227.99;32299.6803871535;36;6837;320;0
16721;2;2013;75;"Male";28523;3;4;0;0;29589.8443095443;28;6857;446;0
16721;3;2013;75;"Male";28523;3;5;1;0;40616.310095759;44;9088;363;0
16721;4;2013;75;"Male";28523;3;6;1;0;24323.0454231263;43;7824;253;0
16721;5;2013;75;"Male";28523;3;7;0;0;33204.8954039564;62;9024;415;0
16721;6;2013;75;"Male";28523;3;8;1;13386.25;28284.4727852959;32;9568;333;0
16721;7;2013;75;"Male";28523;3;9;0;1160;40060.9718232836;33;8450;396;0
16721;8;2013;75;"Male";28523;3;10;0;16848;13607.0519158419;28;5888;363;0
16721;9;2013;75;"Male";28523;3;11;0;18998;24964.4842183003;27;3844;330;0
16721;10;2013;75;"Male";28523;3;12;0;0;15014.7595014839;47;6772;323;0
16721;11;2013;75;"Male";28523;3;13;0;42229.6;6394.38493375176;24;5467;326;0
16721;12;2013;75;"Male";28523;3;14;0;57048.64;53578.7239213706;58;10177;399;0
16721;1;2014;76;"Male";28523;3;15;0;0;42228.9838713102;50;6876;349;0
16721;2;2014;76;"Male";28523;3;16;0;0;2140.77355458183;46;8727;339;0
16721;3;2014;76;"Male";28523;3;17;0;5700;6052.41461768391;59;9710;327;0
16721;4;2014;76;"Male";28523;3;18;0;0;9095.19581736356;36;5840;423;0
16721;5;2014;76;"Male";28523;3;19;0;0;44708.202627986;77;9844;379;0
16721;6;2014;76;"Male";28523;3;20;0;13386.25;50995.9161147744;42;8588;331;0
16721;7;2014;76;"Male";28523;3;21;0;14600;9026.25141029171;24;7657;371;0
16721;8;2014;76;"Male";28523;3;22;0;0;614.375570992743;33;8779;275;0
16721;9;2014;76;"Male";28523;3;23;0;0;47530.3859284607;30;9293;289;0
16721;10;2014;76;"Male";28523;3;24;0;0;10678.3193221821;30;5098;376;1
16754;1;2012;27;"Female";26704;3;0;0;0;42143.8078486965;23;9336;368;0
16754;2;2012;27;"Female";26704;3;1;0;0;28065.7554776411;22;8716;381;1
16755;1;2012;73;"Female";27475;3;0;0;0;42143.8078486965;23;9336;368;0
16755;2;2012;73;"Female";27475;3;1;0;0;28065.7554776411;22;8716;381;0
16755;3;2012;73;"Female";27475;3;2;1;0;5089.66476175808;37;9765;339;0
16755;4;2012;73;"Female";27475;3;3;1;0;15368.256729146;41;7323;364;0
16755;5;2012;73;"Female";27475;3;4;0;0;1071.69364882015;31;3664;324;1
16758;1;2012;47;"Male";13632;3;0;0;0;42143.8078486965;23;9336;368;0
16758;2;2012;47;"Male";13632;3;1;0;0;28065.7554776411;22;8716;381;1
16761;1;2012;53;"Female";30670;2;0;0;0;42143.8078486965;23;9336;368;0
16761;2;2012;53;"Female";30670;2;1;0;0;28065.7554776411;22;8716;381;1
16762;1;2012;70;"Male";21495;2;0;0;0;42143.8078486965;23;9336;368;0
16762;2;2012;70;"Male";21495;2;1;0;0;28065.7554776411;22;8716;381;1
16770;1;2012;80;"Male";28780;3;0;0;0;42143.8078486965;23;9336;368;0
16770;2;2012;80;"Male";28780;3;1;0;0;28065.7554776411;22;8716;381;1
16785;1;2012;47;"Female";24626;4;0;0;0;42143.8078486965;23;9336;368;0
16785;2;2012;47;"Female";24626;4;1;0;0;28065.7554776411;22;8716;381;1
16786;1;2012;72;"Male";16720;2;0;0;0;42143.8078486965;23;9336;368;0
16786;2;2012;72;"Male";16720;2;1;0;0;28065.7554776411;22;8716;381;1
16793;1;2012;28;"Female";25735;3;0;0;0;42143.8078486965;23;9336;368;0
16793;2;2012;28;"Female";25735;3;1;0;0;28065.7554776411;22;8716;381;0
16793;3;2012;28;"Female";25735;3;2;0;0;5089.66476175808;37;9765;339;0
16793;4;2012;28;"Female";25735;3;3;1;0;15368.256729146;41;7323;364;0
16793;5;2012;28;"Female";25735;3;4;0;0;1071.69364882015;31;3664;324;0
16793;6;2012;28;"Female";25735;3;5;1;0;64722.2626677355;33;6346;360;0
16793;7;2012;28;"Female";25735;3;6;1;0;15975.365383563;23;9113;362;0
16793;8;2012;28;"Female";25735;3;7;1;0;30797.7586980616;52;7784;273;0
16793;9;2012;28;"Female";25735;3;8;0;0;17986.6546148108;46;9607;370;0
16793;10;2012;28;"Female";25735;3;9;1;10500;3902.54193570821;59;8346;418;0
16793;11;2012;28;"Female";25735;3;10;1;7320;42437.215213263;41;9064;357;0
16793;12;2012;28;"Female";25735;3;11;1;21567.49;29841.4574185985;35;4340;333;0
16793;1;2013;29;"Female";25735;3;12;0;227.99;32299.6803871535;36;6837;320;0
16793;2;2013;29;"Female";25735;3;13;0;0;29589.8443095443;28;6857;446;0
16793;3;2013;29;"Female";25735;3;14;1;0;40616.310095759;44;9088;363;0
16793;4;2013;29;"Female";25735;3;15;1;0;24323.0454231263;43;7824;253;0
16793;5;2013;29;"Female";25735;3;16;0;0;33204.8954039564;62;9024;415;0
16793;6;2013;29;"Female";25735;3;17;1;13386.25;28284.4727852959;32;9568;333;0
16793;7;2013;29;"Female";25735;3;18;0;1160;40060.9718232836;33;8450;396;0
16793;8;2013;29;"Female";25735;3;19;1;16848;13607.0519158419;28;5888;363;0
16793;9;2013;29;"Female";25735;3;20;0;18998;24964.4842183003;27;3844;330;0
16793;10;2013;29;"Female";25735;3;21;1;0;15014.7595014839;47;6772;323;0
16793;11;2013;29;"Female";25735;3;22;0;42229.6;6394.38493375176;24;5467;326;0
16793;12;2013;29;"Female";25735;3;23;1;57048.64;53578.7239213706;58;10177;399;0
16793;1;2014;30;"Female";25735;3;24;0;0;42228.9838713102;50;6876;349;0
16793;2;2014;30;"Female";25735;3;25;1;0;2140.77355458183;46;8727;339;0
16793;3;2014;30;"Female";25735;3;26;1;5700;6052.41461768391;59;9710;327;0
16793;4;2014;30;"Female";25735;3;27;0;0;9095.19581736356;36;5840;423;0
16793;5;2014;30;"Female";25735;3;28;0;0;44708.202627986;77;9844;379;0
16793;6;2014;30;"Female";25735;3;29;1;13386.25;50995.9161147744;42;8588;331;0
16793;7;2014;30;"Female";25735;3;30;1;14600;9026.25141029171;24;7657;371;0
16793;8;2014;30;"Female";25735;3;31;1;0;614.375570992743;33;8779;275;0
16793;9;2014;30;"Female";25735;3;32;0;0;47530.3859284607;30;9293;289;0
16793;10;2014;30;"Female";25735;3;33;1;0;10678.3193221821;30;5098;376;0
16793;11;2014;30;"Female";25735;3;34;1;0;3896.59680770334;39;8425;461;0
16793;12;2014;30;"Female";25735;3;35;0;27380;18118.8266563319;39;9746;278;0
16793;1;2015;31;"Female";25735;3;36;0;0;38532.0171516032;38;10222;327;0
16793;2;2015;31;"Female";25735;3;37;0;0;51579.8067392421;49;6945;365;0
16793;3;2015;31;"Female";25735;3;38;0;0;1118.87318520266;41;3412;366;0
16793;4;2015;31;"Female";25735;3;39;0;9150;69292.630943759;55;6929;302;0
16793;5;2015;31;"Female";25735;3;40;0;0;18241.7418717968;59;7173;262;0
16793;6;2015;31;"Female";25735;3;41;0;0;49719.7574753742;63;8738;304;0
16793;7;2015;31;"Female";25735;3;42;0;19070;47488.6049006049;25;6930;352;0
16793;8;2015;31;"Female";25735;3;43;0;0;35483.3014777516;22;11395;387;0
16793;9;2015;31;"Female";25735;3;44;0;8140;5509.8459358022;33;9390;382;0
16793;10;2015;31;"Female";25735;3;45;0;0;49471.0682624577;71;6209;422;0
16793;11;2015;31;"Female";25735;3;46;0;21819;74380.6188867451;49;7930;350;0
16793;12;2015;31;"Female";25735;3;47;0;36769.5;58705.3574021151;53;8402;346;0
16793;1;2016;32;"Female";25735;3;48;0;0;24281.4107026485;34;7033;407;0
16793;2;2016;32;"Female";25735;3;49;0;8700;18520.7264169989;26;6620;309;0
16793;3;2016;32;"Female";25735;3;50;0;17400;25028.0737109892;52;6358;351;0
16793;4;2016;32;"Female";25735;3;51;1;0;48187.0989529063;33;6748;288;0
16793;5;2016;32;"Female";25735;3;52;0;29701.96;54227.3192357677;45;5514;374;0
16793;6;2016;32;"Female";25735;3;53;0;1084.84;66097.007538868;39;10133;331;0
16793;7;2016;32;"Female";25735;3;54;0;0;25796.061078224;24;10657;399;0
16793;8;2016;32;"Female";25735;3;55;0;19910;22261.3143144508;33;9183;437;0
16793;9;2016;32;"Female";25735;3;56;0;0;21921.0471767684;43;6639;350;0
16793;10;2016;32;"Female";25735;3;57;0;17450;37995.911262972;44;7929;306;0
16793;11;2016;32;"Female";25735;3;58;0;19910;24464.1517851706;53;8398;370;0
16793;12;2016;32;"Female";25735;3;59;0;145994.75;11845.6273951282;34;9045;372;0
16793;1;2017;33;"Female";25735;3;60;0;20910;81416.4143602697;27;9534;427;0
16793;2;2017;33;"Female";25735;3;61;0;0;47509.3016947455;21;6211;334;0
16793;3;2017;33;"Female";25735;3;62;0;0;16938.2704950572;38;5756;353;0
16793;4;2017;33;"Female";25735;3;63;0;6865;3799.9311901842;50;6647;363;0
16793;5;2017;33;"Female";25735;3;64;1;20595;8586.72601455953;51;8243;410;0
16793;6;2017;33;"Female";25735;3;65;0;0;36024.8735157126;42;8930;342;0
16793;7;2017;33;"Female";25735;3;66;0;0;3011.66439360138;30;4039;381;0
16793;8;2017;33;"Female";25735;3;67;0;20910;8212.83868566212;28;6634;409;0
16793;9;2017;33;"Female";25735;3;68;0;0;50764.7553250582;27;4047;379;0
16793;10;2017;33;"Female";25735;3;69;0;0;46179.8882039977;35;9176;337;0
16793;11;2017;33;"Female";25735;3;70;0;0;41439.7639370569;47;13060;293;0
16793;12;2017;33;"Female";25735;3;71;0;17180;13117.7915947986;26;9352;360;0
16799;1;2012;35;"Male";22938;2;0;0;0;42143.8078486965;23;9336;368;0
16799;2;2012;35;"Male";22938;2;1;0;0;28065.7554776411;22;8716;381;0
16799;3;2012;35;"Male";22938;2;2;0;0;5089.66476175808;37;9765;339;0
16799;4;2012;35;"Male";22938;2;3;1;0;15368.256729146;41;7323;364;0
16799;5;2012;35;"Male";22938;2;4;0;0;1071.69364882015;31;3664;324;0
16799;6;2012;35;"Male";22938;2;5;1;0;64722.2626677355;33;6346;360;0
16799;7;2012;35;"Male";22938;2;6;1;0;15975.365383563;23;9113;362;0
16799;8;2012;35;"Male";22938;2;7;0;0;30797.7586980616;52;7784;273;0
16799;9;2012;35;"Male";22938;2;8;0;0;17986.6546148108;46;9607;370;1
16803;1;2012;77;"Female";33345;3;0;0;0;42143.8078486965;23;9336;368;0
16803;2;2012;77;"Female";33345;3;1;0;0;28065.7554776411;22;8716;381;0
16803;3;2012;77;"Female";33345;3;2;0;0;5089.66476175808;37;9765;339;1
16878;2;2012;28;"Female";20785;1;0;0;0;28065.7554776411;22;8716;381;0
16878;3;2012;28;"Female";20785;1;1;0;0;5089.66476175808;37;9765;339;0
16878;4;2012;28;"Female";20785;1;2;0;0;15368.256729146;41;7323;364;0
16878;5;2012;28;"Female";20785;1;3;0;0;1071.69364882015;31;3664;324;0
16878;6;2012;28;"Female";20785;1;4;1;0;64722.2626677355;33;6346;360;0
16878;7;2012;29;"Female";20785;1;5;0;0;15975.365383563;23;9113;362;0
16878;8;2012;29;"Female";20785;1;6;0;0;30797.7586980616;52;7784;273;1
16896;2;2012;65;"Female";19762;2;0;0;0;28065.7554776411;22;8716;381;0
16896;3;2012;65;"Female";19762;2;1;0;0;5089.66476175808;37;9765;339;1
16901;1;2012;33;"Male";35257;2;0;0;0;42143.8078486965;23;9336;368;0
16901;2;2012;33;"Male";35257;2;1;0;0;28065.7554776411;22;8716;381;1
16903;1;2012;76;"Female";18207;2;0;0;0;42143.8078486965;23;9336;368;0
16903;2;2012;76;"Female";18207;2;1;0;0;28065.7554776411;22;8716;381;1
